Tarih,Max_Sicaklik_C,Min_Sicaklik_C,Yagis_Miktari_mm
2022-07-28,28.9,18.1,0.0
2022-07-29,28.6,18.2,0.0
2022-07-30,29.9,17.3,0.0
2022-07-31,30.6,19.4,0.2
2022-08-01,29.2,19.5,0.2
2022-08-02,28.1,22.6,1.5
2022-08-03,27.4,22.2,1.9
2022-08-04,28.0,21.9,1.5
2022-08-05,27.3,21.8,2.2
2022-08-06,29.2,21.1,1.0
2022-08-07,29.2,21.5,0.8
2022-08-08,30.0,20.5,0.6
2022-08-09,29.4,21.5,1.5
2022-08-10,30.5,21.5,0.0
2022-08-11,30.6,20.9,1.2
2022-08-12,29.1,21.8,2.6
2022-08-13,28.1,22.2,6.7
2022-08-14,30.0,21.5,0.4
2022-08-15,28.3,20.6,2.5
2022-08-16,27.2,22.9,2.5
2022-08-17,30.3,22.1,1.8
2022-08-18,29.9,21.4,0.1
2022-08-19,29.5,19.4,0.7
2022-08-20,27.6,20.3,29.8
2022-08-21,30.6,20.2,0.0
2022-08-22,31.8,21.1,0.0
2022-08-23,31.8,20.8,0.0
2022-08-24,31.4,21.0,0.0
2022-08-25,30.2,21.9,0.3
2022-08-26,31.0,22.0,0.0
2022-08-27,30.4,22.4,0.0
2022-08-28,29.2,23.0,4.4
2022-08-29,30.5,21.7,0.4
2022-08-30,32.2,21.1,0.0
2022-08-31,32.2,24.0,0.2
2022-09-01,30.4,23.0,0.0
2022-09-02,30.6,23.6,0.4
2022-09-03,33.8,22.8,0.1
2022-09-04,27.5,21.8,4.6
2022-09-05,24.6,19.9,15.9
2022-09-06,23.8,16.8,2.7
2022-09-07,22.1,16.3,1.2
2022-09-08,23.3,15.2,0.9
2022-09-09,26.1,14.1,0.0
2022-09-10,27.2,14.2,0.0
2022-09-11,31.3,16.0,0.0
2022-09-12,27.1,17.0,1.4
2022-09-13,23.2,17.8,11.4
2022-09-14,23.6,15.7,1.7
2022-09-15,29.5,13.8,0.0
2022-09-16,37.2,16.2,0.0
2022-09-17,32.8,18.5,0.0
2022-09-18,39.5,18.7,0.0
2022-09-19,23.2,19.4,1.1
2022-09-20,25.2,16.9,1.8
2022-09-21,19.8,17.1,16.5
2022-09-22,21.3,16.6,11.8
2022-09-23,20.5,15.1,5.7
2022-09-24,19.5,14.7,11.0
2022-09-25,22.0,12.1,0.4
2022-09-26,27.9,11.1,0.0
2022-09-27,32.2,13.1,0.0
